station_id,station_name,route_id,avg_crowd,avg_ridership,avg_train_frequency
MTA_436,Harlem-148 St,3,2.5787795992714027,9.585154826958105,13.941712204007287
MTA_437,145 St,3,2.44411619891679,8.139832594780897,13.977351058591827
MTA_438,135 St,"2,3",3.3802103622906117,25.94000779119595,13.770159719516945
MTA_439,125 St,"2,3",3.489819004524887,33.681372549019606,13.794871794871796
MTA_44,Church Av,"B,Q",3.4803746654772523,33.356824264049955,13.855486173059768
MTA_440,116 St,"2,3",3.3091692789968654,26.70728840125392,13.824451410658307
MTA_441,Central Park North (110 St),110 St,3.081026875250702,21.930204572803852,13.85800240673887
MTA_442,Eastchester-Dyre Av,5,2.325037332005973,7.19761075161772,13.967147834743654
MTA_443,Baychester Av,5,2.121440085975282,5.970445996775927,14.011821601289629
MTA_444,Gun Hill Rd,5,2.4838709677419355,9.182328190743338,13.862552594670406
MTA_445,Pelham Pkwy,5,1.9942028985507247,5.539710144927536,14.207536231884058
MTA_446,Morris Park,5,2.0498753117206983,6.405236907730673,14.144638403990024
MTA_447,Flushing-Main St,7,4.168918918918919,159.00067567567567,13.783783783783784
MTA_448,Mets-Willets Point,7,2.8104819840898454,26.55919513336453,13.946654188114179
MTA_449,111 St,7,3.2530364372469633,32.75465587044535,13.784615384615385
MTA_45,Beverley Rd,Q,2.5167189132706373,11.271682340647859,13.951933124346917
